Product ID;Product;Brand;Category;pricing_role_category;URL;Price;Image URL
1039526;COOHÉ 7 Chakra Stone Kit;COOHÉ;Sleep and relaxation;;https://www.matas.dk/soeg?search-query=1039526;;https://images.matas.dk/encode/5744006931795_1_20260423040500.jpg
1015222;Meraki Dish Cloth Green 30 x 50 2 stk;Meraki;Home;C;https://www.matas.dk/soeg?search-query=1015222;;https://images.matas.dk/encode/5707644906921_20260803181307.jpg
890958;FT Citronolie 30 ml;Unique;Skin care;C;https://www.matas.dk/soeg?search-query=890958;;https://images.matas.dk/encode/5705873012406_20240319013646.jpg
1036673;LEGO Søde dyr: Legesyg hundehvalp;Lego;Baby and parent;C;https://www.matas.dk/soeg?search-query=1036673;;https://images.matas.dk/encode/5702018054758_20260310103300.jpg
1030229;Dior Addict Glass 334 (G);DIOR;Makeup;C;https://www.matas.dk/soeg?search-query=1030229;;https://images.matas.dk/encode/3348901800198_20260421124000.jpg
1018721;Cartel CPH Penida Fuld Dækkende Badedragt Cartel Blue L;Cartel Copenhagen;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=1018721;;https://images.matas.dk/encode/5715192039114_1_20250305180700.jpg
798086;Hairlust Bamboo Defining Brush;Hairlust;Hair care and styling;C;https://www.matas.dk/soeg?search-query=798086;;https://images.matas.dk/encode/798086_1_20231024041444.jpg
1009888;Dior Forever Luminizer 06 Opal Sequin 6 g;DIOR;Makeup;C;https://www.matas.dk/soeg?search-query=1009888;;https://images.matas.dk/encode/3348901748025_20250211142500.jpg
763777;CH Les Beiges Healthy Glow Moist Found Beige 80 30ml;CHANEL;Makeup;C;https://www.matas.dk/soeg?search-query=763777;;
1037820;GOSH Wing It Ink Eye Liner 002 0,6 ml;Gosh Copenhagen;Makeup;C;https://www.matas.dk/soeg?search-query=1037820;;https://images.matas.dk/encode/5711914216818_20260828180645.jpg
1035690;KMS AllSmooth Weightless Anti-Frizz Serum 100 ml;kms;Hair care and styling;C;https://www.matas.dk/soeg?search-query=1035690;;https://images.matas.dk/encode/4044897040127_20251119180400.jpg
1013440;rom&nd Juicy Lasting Tint 07 Jujube;rom&nd;Makeup;C;https://www.matas.dk/soeg?search-query=1013440;;https://images.matas.dk/encode/8809625240288_1_20241220180600.jpg
1035446;Casall Alignment Yoga Strap Light Cashmere;Casall;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=1035446;;https://images.matas.dk/encode/7323345239304_20251118180600.jpg
1029779;DKNY Cashmere Collection  Palo Santo Bodylotion 175 ml;DKNY;Skin care;;https://www.matas.dk/soeg?search-query=1029779;;https://images.matas.dk/encode/085715944542_20260806144500.jpg
1017355;Wheat T-Shirt L/S Milo Navy 110/5y;WHEAT;Baby and parent;;https://www.matas.dk/soeg?search-query=1017355;;https://images.matas.dk/encode/5715596308311_1_20250303081400.jpg
1017499;Wheat Wool Balaclava Kim 2 Pak Navy 6-8y/54-55cm;WHEAT;Baby and parent;;https://www.matas.dk/soeg?search-query=1017499;;https://images.matas.dk/encode/5715596005173_20251119180700.jpg
818815;Darphin Ideal Resource Smoothing Radiance Cream 50ml;Darphin;Skin care;C;https://www.matas.dk/soeg?search-query=818815;;https://images.matas.dk/encode/882381048167.jpg
838928;Guerlain Aqua Allegoria Orange Soleia Edt Refill 200 ml;Guerlain;Fragrances;;https://www.matas.dk/soeg?search-query=838928;;https://images.matas.dk/encode/3346470144224_20250411040300.jpg
818401;BARK DNA Hero Cream 30ml;BARK™DNA;Skin care;AA;https://www.matas.dk/soeg?search-query=818401;;https://images.matas.dk/encode/818401_20240206074655.jpg
831738;Ariana Grande Thank U Next 2.0 EDP 30 ml OS;Ariana Grande;Fragrances;C;https://www.matas.dk/soeg?search-query=831738;;https://images.matas.dk/encode/812256027577_20231116114028.jpg
831477;PB CBD Scalp + Body Oil 60 ml;Philip B;Hair care and styling;;https://www.matas.dk/soeg?search-query=831477;;https://images.matas.dk/encode/850014170011_20231218125245.jpg
1017683;Moroccanoil Soleil De Tanger Shower Gel 250 ml;Moroccanoil;Skin care;C;https://www.matas.dk/soeg?search-query=1017683;;https://images.matas.dk/encode/1017683_20250325180700.jpg
638177;PB PhilipB Round Brush 65mm 65 mm;Philip B;Hair care and styling;;https://www.matas.dk/soeg?search-query=638177;;https://images.matas.dk/encode/8423146001045_20231218125327.jpg
681813;Sisley Phyto-Eye Twist 12 - Emerald 1,5 G;Sisley;Makeup;C;https://www.matas.dk/soeg?search-query=681813;;https://images.matas.dk/encode/681813_1.jpg
1012145;Vanilla Copenhagen Junior Sengetøj Swandersen 100x140 Cm;Vanilla Copenhagen;Baby and parent;C;https://www.matas.dk/soeg?search-query=1012145;;https://images.matas.dk/encode/5710098005515_1_20241121180500.jpg
773499;Mugler Alien Goddess EDP 100 ML Refill;Mugler;Fragrances;C;https://www.matas.dk/soeg?search-query=773499;;
695726;MAC Lip Pencil 1,45g Cherry (G);MAC;Makeup;C;https://www.matas.dk/soeg?search-query=695726;;https://images.matas.dk/encode/773602001996_20240607121334.jpg
1021250;Ardell Naked Press On Underlash Extensions Soft Vol 30 Pcs;Ardell;Makeup;C;https://www.matas.dk/soeg?search-query=1021250;;https://images.matas.dk/encode/074764322685_20250506180100.jpg
839546;Nailster Cat Eye Gel Polish 334 Fairy Dust 15 ml;Nailster;Makeup;A;https://www.matas.dk/soeg?search-query=839546;;https://images.matas.dk/encode/839546-1_20240724114137.jpg
1007138;HOLDIT Wavy Case Chocolate iPhone 15 Pro;HOLDIT;Clothing, shoes and accessories;C;https://www.matas.dk/soeg?search-query=1007138;;https://images.matas.dk/encode/7330985164828_1_20240919093327.jpg
